DATE,HOUSTSFLAM1FWQ
2003-01-01,2198
2003-04-01,2141
2003-07-01,2195
2003-10-01,2109
2004-01-01,2211
2004-04-01,2130
2004-07-01,2069
2004-10-01,2194
2005-01-01,2260
2005-04-01,2307
2005-07-01,2291
2005-10-01,2219
2006-01-01,2318
2006-04-01,2269
2006-07-01,2272
2006-10-01,2269
2007-01-01,2258
2007-04-01,2282
2007-07-01,2102
2007-10-01,2126
2008-01-01,2101
2008-04-01,2208
2008-07-01,2256
2008-10-01,2041
2009-01-01,2139
2009-04-01,2098
2009-07-01,2077
2009-10-01,2079
2010-01-01,2125
2010-04-01,2169
2010-07-01,2087
2010-10-01,2164
2011-01-01,2198
2011-04-01,2214
2011-07-01,2250
2011-10-01,2270
2012-01-01,2246
2012-04-01,2280
2012-07-01,2260
2012-10-01,2334
2013-01-01,2380
2013-04-01,2418
2013-07-01,2495
2013-10-01,2442
2014-01-01,2432
2014-04-01,2471
2014-07-01,2576
2014-10-01,2399
2015-01-01,2467
2015-04-01,2438
2015-07-01,2409
2015-10-01,2401
2016-01-01,2492
2016-04-01,2388
2016-07-01,2401
2016-10-01,2395
2017-01-01,2334
2017-04-01,2359
2017-07-01,2309
2017-10-01,2358
2018-01-01,2337.0
2018-04-01,2330.0
2018-07-01,2307.0
2018-10-01,2295.0
2019-01-01,2308.0
2019-04-01,2172.0
2019-07-01,2270.0
2019-10-01,2219.0
2020-01-01,2306.0
2020-04-01,2206.0
2020-07-01,2208.0
2020-10-01,2217.0
2021-01-01,2167.0
2021-04-01,2253.0
2021-07-01,2269.0
2021-10-01,2280.0
2022-01-01,2289.0
2022-04-01,2336.0
2022-07-01,2156.0
2022-10-01,2080.0
